analysis_set,signature_id,time_window,time_label,pathway,tier,pathway_method,cohort_count,total_paired_n,pooled_spearman_rho,ci_low,ci_high,prediction_low,prediction_high,tau2_fisher_z,i2_percent,direction_consistency,p_value,fdr_within_analysis_window_tier
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,3,141,-0.1152239837129274,-0.3452983156373188,0.1279150752593341,-0.6844044858696151,0.5412182829433776,0.0,0.0,0.6666666666666666,0.1784400699890572,0.426604821707243
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,3,141,-0.1547867512651525,-0.428489127467625,0.1449347152751789,-0.7809848942216053,0.6266060965342217,0.0,0.0,0.6666666666666666,0.1562526609566806,0.426604821707243
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,3,141,-0.173903269827259,-0.2530352569738331,-0.0924598425938486,-0.3975125705189157,0.0692026801653312,0.0,0.0,1.0,0.0118320160599591,0.4259525781585292
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,3,141,-0.1092559294864749,-0.713327664832871,0.5879576086866104,-0.99938230711388,0.9990422407306994,0.0625160312899552,65.2040165030415,0.6666666666666666,0.6084247603899268,0.7685365394399074
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,-0.1370726259292484,-0.5353368447289215,0.3110562060739804,-0.9661975688870896,0.9420298273014052,0.0107998577023078,20.80315086982668,0.6666666666666666,0.3257384900786968,0.5454225880387482
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,0.0824989568620968,-0.4309152320781237,0.555564104542698,-0.9877152006784,0.991159473865633,0.0267404955568425,44.26595799145128,0.6666666666666666,0.5800781002649116,0.7458147003406006
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,0.0052201050608969,-0.4978927559151755,0.5057040504351579,-0.9875553205672468,0.9878109116461666,0.0235784520044623,41.72678505355613,0.6666666666666666,0.9712256551781904,0.9870856794206052
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,3,141,-0.0325147497649617,-0.5612672925961076,0.5150867306840441,-0.9954818516613098,0.9948556796187366,0.0366342817055756,54.307253174532214,0.6666666666666666,0.8378341173913967,0.9140008553360692
INDEPENDENT_ONLY,SIG002,T24,T24,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,3,141,-0.1967513449462899,-0.4849458806619416,0.1299895143881086,-0.8255862981701616,0.6500651748645273,0.0,0.0,0.6666666666666666,0.1216514726820906,0.426604821707243
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,4,118,-0.1643534328253002,-0.5236675382613818,0.244603063729829,-0.8036381262761836,0.6510306496052286,0.0309807331484213,44.91803718473909,0.75,0.2935522187150489,0.5712367499319871
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,4,118,0.1443634067220514,-0.2902133505888538,0.529577109217837,-0.7241701141582133,0.8358124253441689,0.0414120447978279,52.30904855546541,0.75,0.3741516460093491,0.5995639602316593
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,4,118,-0.1003520951283476,-0.304652109791079,0.1127758941895719,-0.3713159716018898,0.1863629995040347,0.0,0.0,0.75,0.2311223012992789,0.5042668391984267
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,4,118,0.0299823038012312,-0.3057229092288072,0.3590571381598701,-0.5384100610244146,0.579624136792996,0.0097615776896611,20.120157042790332,0.5,0.8004655454768285,0.8824261075071229
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,0.0941861323840799,-0.288350360851925,0.4507956093342398,-0.6368420236995094,0.736036862662999,0.0236674338565743,38.07738304757846,0.5,0.4981832682582429,0.6909960491921687
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,0.0319483417080789,-0.3115628355044853,0.3680742770664145,-0.5667920296566736,0.6086047265653015,0.012202918825376,23.93944996639408,0.5,0.7927086691835924,0.8824261075071229
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,0.0311637129428167,-0.3525366245268882,0.4058936517167602,-0.688305430790037,0.719725881502368,0.0256825453267545,40.28486352081574,0.5,0.8199105013469316,0.8824261075071229
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,4,118,0.1763326108650353,-0.1104267447314597,0.435990107178024,-0.2094840100357054,0.5146404763743179,0.0,0.0,0.75,0.1446024904728689,0.4164551725618624
INDEPENDENT_ONLY,SIG002,T48,T48,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,4,118,-0.0281086175373264,-0.5337894113922639,0.4923803233014363,-0.9110142724433268,0.900946710341646,0.0906265653114034,70.96589903303524,0.5,0.8846940547229862,0.9099710277150715
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,3,141,-0.4309655555791377,-0.8587130989988827,0.3507158665045491,-0.9998829107829516,0.9992597765998182,0.0835822653532488,74.48900652480255,1.0,0.1386455207764466,0.426604821707243
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,3,141,-0.1195081067486512,-0.5855553865472364,0.4059156522569663,-0.9871033285683308,0.9792337520520692,0.0192498748610932,38.6878275662956,0.6666666666666666,0.4472432604405167,0.6314022500336707
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,3,141,0.0513724682267702,-0.0323977959093555,0.1344260015086432,-0.1936553747938094,0.2903675992432555,0.0,0.0,1.0,0.118572454153015,0.426604821707243
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,3,141,0.0711479291750906,-0.5291215284041997,0.6239583699427785,-0.991820224562223,0.9938428975345298,0.0256728755159938,48.3524001461736,0.6666666666666666,0.6879650959715711,0.7989272082250503
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,0.1966486388054541,-0.189489127211175,0.530107860335749,-0.7422956895826693,0.8750084063959759,0.0,8.286887251512226,0.6666666666666666,0.1596799342670067,0.426604821707243
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,0.0020938440907145,-0.3193790889622127,0.3231345810903404,-0.7536874690770659,0.7554906635959482,0.0,0.0,0.6666666666666666,0.9808760220478788,0.9870856794206052
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,-0.0098936613346056,-0.3117951242128532,0.2938223242908588,-0.7320591944066545,0.7227420576688054,0.0,0.0,0.6666666666666666,0.904160155902034,0.9573460474256832
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,3,141,-0.1115132463094868,-0.3888674276511811,0.1843742080545979,-0.7588257157856375,0.6466287210172744,0.0,0.0,0.6666666666666666,0.2478429770431072,0.4575562653103517
INDEPENDENT_ONLY,SIG003,T24,T24,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,3,141,0.095939766647194,-0.2849543557213048,0.4506674875234925,-0.7831305422452647,0.8471261598263765,0.0,7.460783923256613,0.6666666666666666,0.3989301647688164,0.619834064270446
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,4,118,-0.3469294846339406,-0.7288510185679606,0.1996559886697666,-0.9522693250931824,0.8115965324900052,0.0890649130107481,70.53052894124006,0.75,0.1338950572177429,0.411382131785493
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,4,118,0.11778456152473,-0.1759522413003807,0.3922616406821048,-0.2747931477074256,0.4767028364406569,0.0,0.0,0.75,0.2931200045082414,0.5712367499319871
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,4,118,0.0973741212631484,-0.1858694651179689,0.3656761754626325,-0.2808772666842273,0.4494425536336689,0.0,0.0,0.75,0.3562053678776515,0.5964368950509514
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,4,118,0.246276589761696,-0.1846993541075694,0.5978110092976252,-0.6561414904316217,0.8588376336790046,0.0391715475992935,50.90222668982934,0.75,0.1653672595788982,0.4217976235154665
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,0.2666106106280214,-0.2071257317667348,0.6390636407713562,-0.7307340750148286,0.9008523470487956,0.0551697257915872,59.48409862126181,0.75,0.1698907094715073,0.4217976235154665
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,0.2739993256939986,-0.1044199893060802,0.5831134956804295,-0.4949177704157884,0.8022586253361035,0.0219422492206467,36.28744710614934,0.75,0.1032394022196438,0.411382131785493
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,0.2067613933820445,-0.1835314194153861,0.5407438356379669,-0.5763808250910575,0.791933901883853,0.0251478836270919,39.52883535805065,0.75,0.1899158198011773,0.4410948072801537
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,4,118,0.1857778590429051,-0.177537850036267,0.5045268459013094,-0.499485036408033,0.7280384686830313,0.0159790330881168,29.34799853676881,0.75,0.2019812018925968,0.4544577042583429
INDEPENDENT_ONLY,SIG003,T48,T48,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,4,118,0.1948526867038824,-0.3618677086810099,0.6491257219150879,-0.8719156852650631,0.939733805662744,0.0950332065914013,72.06184745199383,0.75,0.3555315090185269,0.5964368950509514
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,3,141,0.1969891197645434,-0.1129372580807984,0.4719821054222829,-0.6198627229711728,0.8089483197814544,0.0,0.0,1.0,0.1111363660654402,0.426604821707243
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,3,141,0.2076770604697226,-0.2210337120265782,0.5691249384198639,-0.8879386210185435,0.9501753138224576,0.0060683534795027,14.573459178225376,1.0,0.1727672706503529,0.426604821707243
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,3,141,0.2545867192250153,0.2033620667872004,0.3044214850548648,0.1002861591091602,0.3969289833153901,0.0,0.0,1.0,0.0023227672737955,0.1672392437132775
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,3,141,0.2273694834422008,-0.1826749504249039,0.5700359999528521,-0.7605672192694689,0.8977277123374378,0.0,19.02088665400153,1.0,0.1391410102535563,0.426604821707243
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,0.185725761916759,-0.1959353673272078,0.518521352738404,-0.7412285936925627,0.8690080673260453,0.0,6.06986993445499,1.0,0.171497969303993,0.426604821707243
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,0.0742124476145686,-0.1057508404890194,0.2494685397780696,-0.4290060146240798,0.5422774579803725,0.0,0.0,0.6666666666666666,0.2183478555865404,0.4491727314923117
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,3,141,0.1143086686987586,-0.0473983675462058,0.2701771097104613,-0.3490091030629604,0.5327204646538276,0.0,0.0,1.0,0.093058287770778,0.426604821707243
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,3,141,0.0120639948527309,-0.2750872864637365,0.2972391855800833,-0.6949164237956332,0.7071852970479402,0.0,0.0,0.6666666666666666,0.8762881272241254,0.9416827635841348
INDEPENDENT_ONLY,SIG004,T24,T24,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,3,141,0.2373457413140694,-0.4809019074587955,0.764965018103026,-0.9975542895900325,0.9990701610357344,0.0483302425777161,57.368554524687355,1.0,0.3071379361622514,0.5393641805776122
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,4,118,0.2933409581498645,-0.041890900088335,0.5692084810058491,-0.318380951734028,0.7325832062633635,0.0098866439662904,19.60015131834553,1.0,0.0681450839522953,0.4048984255469592
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,4,118,-0.017243705318192,-0.1943924506794117,0.1609942914159426,-0.2544218223970182,0.2218910342057618,0.0,0.0,0.5,0.7799613615987337,0.8824261075071229
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,4,118,0.1339668529776155,-0.0511551948342992,0.3101884938612336,-0.1161365016285024,0.3680943418976868,0.0,0.0,0.75,0.1043829050731445,0.411382131785493
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,4,118,0.0435603945404914,-0.3582771527377031,0.431781115851886,-0.7124117445192165,0.7527367526336978,0.0299959733803443,44.48164265036883,0.5,0.7620985264643112,0.8824261075071229
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,-0.1074374203122031,-0.6037862896898548,0.4489440861232427,-0.9321352002298932,0.8974045647236741,0.0980520758890008,71.51528050712865,0.75,0.6022786251992672,0.7743582323990579
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,-0.0046010001585587,-0.3174581935930927,0.3091595012688359,-0.4433350327955125,0.4359115208042241,0.0016436241751174,8.87163938240418,0.5,0.966815633466884,0.9668156334668842
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,118,0.0419756020777574,-0.2732307082496985,0.3490419949454362,-0.4027036862217464,0.4706245951696579,0.0016152660372682,7.858908993221543,0.5,0.7062644597662824,0.8336236246421694
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,4,118,-0.2902952229060293,-0.4662011104275099,-0.0923082705535081,-0.5210849982046576,-0.0199465827869161,0.0,0.0,1.0,0.0191953647921293,0.2211081261533158
INDEPENDENT_ONLY,SIG004,T48,T48,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,4,118,0.0272677326267083,-0.5884922508398756,0.6230074399759161,-0.9585919644327184,0.9627921712336616,0.1578190683210585,80.90161618975277,0.75,0.9094952327001838,0.9223050247100456
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,4,172,0.3010764997411653,-0.1702680544138402,0.6603018808195984,-0.758542504151915,0.9237752891432522,0.0687766386014719,72.67918580305981,0.75,0.1329301282349588,0.426604821707243
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,4,172,0.0419415935213539,-0.2309294837300565,0.3086960886158602,-0.5182446024417956,0.5769436334016962,0.0129070089229992,16.717104139528395,0.75,0.6628415446421194,0.7989272082250503
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,3,141,-0.0586163801130416,-0.3061958000178402,0.1963899688917225,-0.6748399124492639,0.6057688743624607,0.0,0.0,0.6666666666666666,0.4304403224100319,0.619834064270446
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,4,172,0.0496412951778255,-0.4151399348248534,0.4938729559225277,-0.8295520354853206,0.8580917922183492,0.0587209584553872,65.65908024882302,0.5,0.7687930228310331,0.8606289357795862
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,172,-0.1946306643674599,-0.4370618533090455,0.0741652779030564,-0.613168990626437,0.3092289245509514,0.0071537453165081,7.30996559790489,0.75,0.1039040990858358,0.426604821707243
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,172,0.1398355978930389,-0.3127499499960243,0.5406731914938748,-0.7814033290876209,0.8693665913397016,0.0551676883877589,65.21434186375768,0.5,0.4058601190260927,0.619834064270446
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,4,172,0.154692438635426,-0.3165762676492594,0.5647130853228022,-0.7989710939875689,0.8869939498079489,0.0615226141825174,68.23360527897005,0.75,0.3804533287912978,0.6127700570506874
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,4,172,0.0309296199676137,-0.17594295885568,0.235185833092972,-0.2461081506693215,0.3032952962728019,0.0,0.0,0.5,0.6693139963569528,0.7989272082250503
INDEPENDENT_ONLY,SIG022,T24,T24,HALLMARK_TNFA_SIGNALING_VIA_NFKB,PRESET_PRIMARY,SINGSCORE,4,172,-0.1937846094923908,-0.4647236989841097,0.110335439158668,-0.5451122944047289,0.2154385775522533,0.0,32.86087987320462,0.75,0.1347971431156831,0.426604821707243
INDEPENDENT_ONLY,SIG022,T48,T48,HALLMARK_ALLOGRAFT_REJECTION,PRESET_PRIMARY,SINGSCORE,5,146,0.3203456677517106,-0.1457583699709989,0.6700690796409311,-0.6947640548879311,0.9089015773002842,0.109874808584603,73.98445939084473,0.8,0.1265078520416615,0.411382131785493
INDEPENDENT_ONLY,SIG022,T48,T48,HALLMARK_APOPTOSIS,PRESET_PRIMARY,SINGSCORE,5,146,0.124771222816569,-0.2877465704141315,0.4982362933914474,-0.7090868018978472,0.8131286554206423,0.0778239883529719,67.29337821100717,0.6,0.4551636392301735,0.6688118780524999
INDEPENDENT_ONLY,SIG022,T48,T48,HALLMARK_COAGULATION,PRESET_PRIMARY,SINGSCORE,4,118,-0.0404919907749372,-0.2407882450404417,0.1631123095920181,-0.3075197100892864,0.2324477346723177,0.0,0.0,0.75,0.5741840539313003,0.7516591251464295
INDEPENDENT_ONLY,SIG022,T48,T48,HALLMARK_COMPLEMENT,PRESET_PRIMARY,SINGSCORE,5,146,-0.0680276787506505,-0.3568598546108403,0.2326762486199239,-0.5778369704437482,0.4799686082651536,0.02241622307047,36.854353582694635,0.6,0.5688821882798549,0.7516591251464295
INDEPENDENT_ONLY,SIG022,T48,T48,HALLMARK_INFLAMMATORY_RESPONSE,PRESET_PRIMARY,SINGSCORE,5,146,-0.1030160646671091,-0.4801877158184547,0.3063048820321365,-0.8037318298598588,0.7174158961777675,0.0769953494151746,67.10689426970961,0.6,0.5317315679532872,0.722352318728994
INDEPENDENT_ONLY,SIG022,T48,T48,HALLMARK_INTERFERON_ALPHA_RESPONSE,PRESET_PRIMARY,SINGSCORE,5,146,0.055486909724224,-0.5577843534163376,0.629567292253022,-0.9427140263621814,0.953863577056934,0.2652367416084135,87.16191094014357,0.6,0.8329482453024598,0.8824261075071229
INDEPENDENT_ONLY,SIG022,T48,T48,HALLMARK_INTERFERON_GAMMA_RESPONSE,PRESET_PRIMARY,SINGSCORE,5,146,0.1048047617754684,-0.4506400495167523,0.6017494623797613,-0.8918768360773988,0.9276692678042244,0.1877513706536846,82.9993051621971,0.6,0.6469255890201422,0.7894685154144109
INDEPENDENT_ONLY,SIG022,T48,T48,HALLMARK_OXIDATIVE_PHOSPHORYLATION,PRESET_PRIMARY,SINGSCORE,5,146,-0.1055571781976915,-0.4028803375092445,0.2119181946631723,-0.6468604718328097,0.5064753853320482,0.0301454677973544,43.808470145771786,0.6,0.4114743226177125,0.6394455717942773
