signature_id,time_window,gene,gene_group,analysis_set,cohort_n,patient_n,pooled_contribution,pooled_se,ci95_lower,ci95_upper,tau2,I2_percent,prediction_lower,prediction_upper,direction_consistency,p_value,cohorts,fdr_within_signature_window,abs_value
SIG001,T2,CEACAM1,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,5,146,-0.253998235972847,0.0552788516580054,-0.4074769330796715,-0.1005195388660224,0.0131090452375529,86.45684290054486,-0.6586171760637766,0.1506207041180826,1.0,0.0100698830708821,GSE57065;GSE95233;GSE54514;GSE110487;GSE8121,0.0836385194226815,0.253998235972847
SIG001,T2,ZDHHC19,UP_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,5,146,-0.1404081285987586,0.0443231921025941,-0.2634690383587479,-0.0173472188387693,0.0057256145452128,57.04340486807591,-0.4194881644185755,0.1386719072210583,1.0,0.0339284397962435,GSE57065;GSE95233;GSE54514;GSE110487;GSE8121,0.0836385194226815,0.1404081285987586
SIG002,T2,PLAC8,LINEAR_PANEL,PRIMARY_INDEPENDENT,4,118,-0.6124431761908649,0.0814749982696854,-0.8717329834072669,-0.3531533689744628,0.0122451086207386,41.47302598122509,-1.2036984905056607,-0.0211878618760689,1.0,0.0048791749902973,GSE57065;GSE95233;GSE110487;GSE8121,0.0195166999611895,0.6124431761908649
SIG002,T2,PLA2G7,LINEAR_PANEL,PRIMARY_INDEPENDENT,4,118,0.154015940429976,0.079370247302758,-0.0985756098481843,0.4066074907081365,0.0150132027151365,62.5778771036386,-0.4741247768037629,0.782156657663715,1.0,0.1476431364546816,GSE57065;GSE95233;GSE110487;GSE8121,0.1476431364546816,0.154015940429976
SIG003,T2,PLAC8,RATIO_PANEL,PRIMARY_INDEPENDENT,4,118,-0.5368788992281726,0.0513134092106055,-0.7001810687820036,-0.3735767296743415,0.0,0.0,-0.7576626794381995,-0.3160951190181456,1.0,0.001863946453557,GSE57065;GSE95233;GSE110487;GSE8121,0.003727892907114,0.5368788992281726
SIG003,T2,FAIM3,RATIO_PANEL,PRIMARY_INDEPENDENT,4,118,-0.3593740371864152,0.0683443050013322,-0.5768761181251257,-0.1418719562477046,0.0,0.0,-0.6534358476595831,-0.0653122267132473,1.0,0.0133997330189916,GSE57065;GSE95233;GSE110487;GSE8121,0.0133997330189916,0.3593740371864152
SIG004,T2,NLRP1,RATIO_PANEL,PRIMARY_INDEPENDENT,4,118,0.4416095900568298,0.0402112127504128,0.3136395646082792,0.5695796155053805,0.0,0.0,0.2685947057518739,0.6146244743617859,1.0,0.0016165286745532,GSE57065;GSE95233;GSE110487;GSE8121,0.0048495860236598,0.4416095900568298
SIG004,T2,IDNK,RATIO_PANEL,PRIMARY_INDEPENDENT,4,118,0.3647111435310154,0.0650710868350209,0.1576259036520715,0.5717963834099593,0.0,0.0,0.0847328541360178,0.644689432926013,1.0,0.0112235250841401,GSE57065;GSE95233;GSE110487;GSE8121,0.0168352876262102,0.3647111435310154
SIG022,T2,HK3,BACTERIAL_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,5,146,0.1287290207939474,0.0315288116624524,0.0411910059810281,0.2162670356068667,0.003070145583101,68.21353337252108,-0.074155651424713,0.3316136930126079,1.0,0.0150625301546612,GSE57065;GSE95233;GSE54514;GSE110487;GSE8121,0.0941097729726869,0.1287290207939474
SIG022,T2,IFI27,VIRAL_GEOMETRIC_MEAN,PRIMARY_INDEPENDENT,5,146,-0.1253708470446373,0.0529983978518701,-0.2725179893437878,0.0217762952545131,0.0070270746289463,48.96749373642911,-0.4409935562099488,0.1902518621206742,1.0,0.0771935637051097,GSE57065;GSE95233;GSE54514;GSE110487;GSE8121,0.1157532778794127,0.1253708470446373
