time_window,signature_a,signature_b,signature_pair,cohort_n,patient_n,pooled_spearman_rho_delta_z,ci95_lower,ci95_upper,modified_hk_ci95_lower,modified_hk_ci95_upper,tau2_fisher_z,I2_percent,prediction_lower,prediction_upper,modified_hk_prediction_lower,modified_hk_prediction_upper,p_value,modified_hk_p_value,q_hk,cohorts,median_sign_agreement_fraction,holm_adjusted_p_six_pairs
T24,SIG001,SIG002,SIG001 vs SIG002,3,141,0.3775586015909717,-0.2009988049661195,0.7608337077992793,-0.2662338385443037,0.788413272099745,0.0322867809657472,37.75896255216279,-0.9864692903778388,0.9972225774388156,-0.9895385751685254,0.997855237217005,0.1046089624195838,0.1254238516349798,0.8045522782520963,GSE236713;GSE57065;GSE95233,0.65,0.6271192581748991
T24,SIG001,SIG003,SIG001 vs SIG003,3,141,0.6318489700251702,-0.6848272584524785,0.9811374676760728,-0.6848272584524785,0.9811374676760728,0.3320202470276922,83.64303557916367,-0.9999997470221476,0.9999999871241868,-0.9999997470221476,0.9999999871241868,0.1802748941151596,0.1802748941151596,1.0381643092852595,GSE236713;GSE57065;GSE95233,0.7,0.6271192581748991
T24,SIG001,SIG004,SIG001 vs SIG004,3,141,-0.4407854571018545,-0.8367224642918288,0.2577836011110071,-0.8556893224224016,0.3190697003292345,0.0678094650778103,69.85113161171701,-0.9997180990462968,0.9981302081109148,-0.999774609316895,0.9985047912778968,0.109839423771426,0.1268706793638362,0.8405205806074671,GSE236713;GSE57065;GSE95233,0.4193548387096774,0.6271192581748991
T24,SIG002,SIG003,SIG002 vs SIG003,3,141,0.2804595548182733,-0.3492205905938256,0.735643464791376,-0.4000381576504792,0.7616176478266451,0.0454459756052841,55.71812239003594,-0.9954011219674692,0.998545497707969,-0.9962647283249368,0.99881898281476,0.1978788032527541,0.2236687073964284,0.8407527059024399,GSE236713;GSE57065;GSE95233,0.55,0.6271192581748991
T24,SIG002,SIG004,SIG002 vs SIG004,3,141,-0.4120678356757785,-0.8574677005595973,0.3863491669208651,-0.8638640786898878,0.4071396766237452,0.0857163405914831,72.75423105523525,-0.999893142406418,0.9993837577938888,-0.9999015585008674,0.999432281585776,0.1555929288307982,0.1626774556586806,0.9440950165422544,GSE236713;GSE57065;GSE95233,0.35,0.6271192581748991
T24,SIG003,SIG004,SIG003 vs SIG004,3,141,-0.3930033371403075,-0.7198872186243506,0.0765666149850731,-0.7503540845627484,0.142102568597948,0.0213830415122246,35.60844426941128,-0.9922415523394617,0.959804512446224,-0.993958732938884,0.9685877992188692,0.068154345629448,0.0853277579342091,0.7764691991931728,GSE236713;GSE57065;GSE95233,0.3214285714285714,0.5119665476052547
T48,SIG001,SIG002,SIG001 vs SIG002,4,118,0.5987506264469455,0.4193718893060055,0.7331317011332168,0.3773366585748367,0.7554129860451128,0.0,0.0,0.3460492489184763,0.7704548868008049,0.2852399913559312,0.7965193299834264,0.002890869299634,0.0049570709906162,0.6891415769338795,GSE110487;GSE57065;GSE8121;GSE95233,0.8038461538461539,0.0297424259436973
T48,SIG001,SIG003,SIG001 vs SIG003,4,118,0.61865439215603,0.3134206321325124,0.8080241695338078,0.3086005768583634,0.8098683895076287,0.0258833556890373,39.966317759766,-0.1531351006377116,0.9216675977321256,-0.1574772975634288,0.9223346399757965,0.0103348436848309,0.0107268026000069,0.9737461348966192,GSE110487;GSE57065;GSE8121;GSE95233,0.8032258064516129,0.0452506835532456
T48,SIG001,SIG004,SIG001 vs SIG004,4,118,-0.5837303586995584,-0.8197091573885202,-0.1783469317595251,-0.8197091573885202,-0.1783469317595251,0.0569953379310754,61.39907594279149,-0.9552695909964164,0.5024736442011668,-0.9552695909964164,0.5024736442011668,0.0223213701055774,0.0223213701055774,1.0133051694659747,GSE110487;GSE57065;GSE8121;GSE95233,0.2096774193548387,0.0452506835532456
T48,SIG002,SIG003,SIG002 vs SIG003,4,118,0.5361782507120989,0.2939227409619288,0.7137064590533111,0.2765192042283909,0.7228764274711182,0.0,0.0,0.1961174277092325,0.7611154673171066,0.171369582547269,0.7716830771023749,0.0075936216617873,0.0090501367106491,0.8832812977611205,GSE110487;GSE57065;GSE8121;GSE95233,0.732051282051282,0.0452506835532456
T48,SIG002,SIG004,SIG002 vs SIG004,4,118,-0.5259206810759225,-0.7654987433317707,-0.1582729830166482,-0.76805152231667,-0.1522270461359601,0.0252837909575074,33.53924969505258,-0.9010590078080016,0.2993839734062993,-0.9020714198921492,0.3042999724727154,0.0220567040527557,0.0229253556831773,0.97146280548329,GSE110487;GSE57065;GSE8121;GSE95233,0.1978494623655914,0.0452506835532456
T48,SIG003,SIG004,SIG003 vs SIG004,4,118,-0.6727217008477382,-0.8520447982227275,-0.3520908036692971,-0.8520447982227275,-0.3520908036692971,0.0292404463160603,39.393045596142855,-0.9434530859458012,0.1363249728789879,-0.9434530859458012,0.1363249728789879,0.01021807075092,0.01021807075092,1.04090069785125,GSE110487;GSE57065;GSE8121;GSE95233,0.173697270471464,0.0452506835532456
