signature_id,stratum,n_pairs,mean_delta_z,bootstrap_se,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,seed
SIG001,all,47,-0.9724639085230999,0.08240418540068604,-1.1389084731868078,-0.8120339112435242,2000,20260720
SIG001,hydrocortisone,24,-0.9681824770437837,0.12915272591126284,-1.2225540493600064,-0.7172804594296999,2000,20260720
SIG001,placebo,23,-0.9769314891971689,0.10865056846094005,-1.1888092038776752,-0.7615297263312435,2000,20260720
SIG002,all,47,-1.48355113600434,0.14624052989521538,-1.765863177536068,-1.2010005111058981,2000,20260720
SIG002,hydrocortisone,24,-2.1069263335007236,0.18237710957888553,-2.4656757847801645,-1.7391746172397333,2000,20260720
SIG002,placebo,23,-0.8330726690515919,0.1286964899509864,-1.0873466981717153,-0.5926521153337843,2000,20260720
SIG003,all,47,-1.1168213514047896,0.12450439934829137,-1.3671198600114034,-0.8834960296563807,2000,20260720
SIG003,hydrocortisone,24,-1.3839764539827675,0.17534068034375272,-1.723641516735771,-1.042031716471633,2000,20260720
SIG003,placebo,23,-0.8380508095842912,0.14739099670298972,-1.1264316254466704,-0.5446817915047952,2000,20260720
SIG004,all,47,0.917187673928951,0.10537824488066432,0.7067625567194223,1.1131637805632164,2000,20260720
SIG004,hydrocortisone,24,1.0187039734218681,0.15470935731399788,0.7093138917626831,1.3166724886988737,2000,20260720
SIG004,placebo,23,0.8112576222841676,0.1376798629859968,0.5340209037747017,1.070163252989684,2000,20260720
