signature_id,signature,n_total,n_placebo,n_hydrocortisone,treatment_beta_hydrocortisone_minus_placebo,robust_se_hc3,ci95_low,ci95_high,p_value_raw,r_squared,p_value_holm,placebo_mean_delta_z,placebo_bootstrap_ci_low,placebo_bootstrap_ci_high,hydrocortisone_mean_delta_z,hydrocortisone_bootstrap_ci_low,hydrocortisone_bootstrap_ci_high,direction_consistent_between_arms
SIG001,Sepsis MetaScore,47,23,24,0.00874901215338534,0.1749947159400181,-0.3342343285738674,0.35173235288063814,0.9601256836390348,5.751308636592345e-05,0.9601256836390348,-0.9769314891971689,-1.1888092038776752,-0.7615297263312435,-0.9681824770437837,-1.2225540493600064,-0.7172804594296999,True
SIG002,SeptiCyte LAB,47,23,24,-1.273853664449132,0.23575786035651822,-1.7359305798201312,-0.8117767490781329,6.545187921762679e-08,0.40030669482021475,2.6180751687050717e-07,-0.8330726690515919,-1.0873466981717153,-0.5926521153337843,-2.1069263335007236,-2.4656757847801645,-1.7391746172397333,True
SIG003,FAIM3:PLAC8,47,23,24,-0.5459256443984765,0.2438460899967216,-1.0238551985629636,-0.06799609023398934,0.025168126607758287,0.10334605220334425,0.07550437982327486,-0.8380508095842912,-1.1264316254466704,-0.5446817915047952,-1.3839764539827675,-1.723641516735771,-1.042031716471633,True
SIG004,sNIP,47,23,24,0.20744635113770066,0.2176101132419852,-0.21906163348827307,0.6339543357636743,0.3404412799951775,0.020551038995001547,0.680882559990355,0.8112576222841676,0.5340209037747017,1.070163252989684,1.0187039734218681,0.7093138917626831,1.3166724886988737,True
