signature_id,signature,term,estimate,robust_se_hc3,ci95_low,ci95_high,p_value,n,r_squared,p_value_holm
SIG001,Sepsis MetaScore,Intercept,-0.9769314891971687,0.11248072582406504,-1.1973896607672605,-0.7564733176270768,3.776660873165009e-18,47,5.751308636592345e-05,
SIG001,Sepsis MetaScore,hydrocortisone,0.00874901215338534,0.1749947159400181,-0.3342343285738674,0.35173235288063814,0.9601256836390348,47,5.751308636592345e-05,0.9601256836390348
SIG002,SeptiCyte LAB,Intercept,-0.8330726690515915,0.13760353951596743,-1.1027706506481219,-0.5633746874550611,1.4115975367171906e-09,47,0.40030669482021475,
SIG002,SeptiCyte LAB,hydrocortisone,-1.273853664449132,0.23575786035651822,-1.7359305798201312,-0.8117767490781329,6.545187921762679e-08,47,0.40030669482021475,2.6180751687050717e-07
SIG003,FAIM3:PLAC8,Intercept,-0.8380508095842909,0.15529302033193995,-1.1424195364853396,-0.5336820826832422,6.792410369854808e-08,47,0.10334605220334425,
SIG003,FAIM3:PLAC8,hydrocortisone,-0.5459256443984765,0.2438460899967216,-1.0238551985629636,-0.06799609023398934,0.025168126607758287,47,0.10334605220334425,0.07550437982327486
SIG004,sNIP,Intercept,0.8112576222841674,0.14623767456849623,0.5246370469470258,1.097878197621309,2.8973645533743182e-08,47,0.020551038995001547,
SIG004,sNIP,hydrocortisone,0.20744635113770066,0.2176101132419852,-0.21906163348827307,0.6339543357636743,0.3404412799951775,47,0.020551038995001547,0.680882559990355
