run_accession	study_accession	sample_accession	experiment_accession	experiment_title	sample_title	instrument_platform	instrument_model	library_layout	library_strategy	fastq_ftp	fastq_md5	fastq_bytes
ERR16983788	PRJEB111201	SAMEA122114837	ERX16367325	Illumina NovaSeq X Plus sequencing	Sepsis patient 4 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/088/ERR16983788/ERR16983788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/088/ERR16983788/ERR16983788_2.fastq.gz	48abad0a53e507a4fae1964c769a2d81;b23b51358fd588d67c8cce2ab9c086e8	2470020004;2421936207
ERR16983790	PRJEB111201	SAMEA122114839	ERX16367327	Illumina NovaSeq X Plus sequencing	Sepsis patient 4 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/090/ERR16983790/ERR16983790_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/090/ERR16983790/ERR16983790_2.fastq.gz	fb206f9632c5f54d1c57c2a7cc47409c;6b7be07d122b0b423975ba03dab3f735	2573685482;2539892353
ERR16983791	PRJEB111201	SAMEA122114840	ERX16367328	Illumina NovaSeq X Plus sequencing	Septic shock patient 00 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/091/ERR16983791/ERR16983791_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/091/ERR16983791/ERR16983791_2.fastq.gz	c75d50f7f062b49ac947f65e5225b93f;09c093ecef2a5d7b7ed25b0a2a9784f8	2685487252;2632656710
ERR16983792	PRJEB111201	SAMEA122114841	ERX16367329	Illumina NovaSeq X Plus sequencing	Septic shock patient 0 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/092/ERR16983792/ERR16983792_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/092/ERR16983792/ERR16983792_2.fastq.gz	a2da119522b9c73df52c491808298031;40c60c57aab932582c99d3b5cad3967a	2889263083;2842590535
ERR16983794	PRJEB111201	SAMEA122114843	ERX16367331	Illumina NovaSeq X Plus sequencing	Septic shock patient 0 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/094/ERR16983794/ERR16983794_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/094/ERR16983794/ERR16983794_2.fastq.gz	72d3bd0ad0ef9c0d591a0246ed736743;236fc016fc8462dbf3dcd31eac73479f	2707107447;2725904685
ERR16983796	PRJEB111201	SAMEA122114845	ERX16367333	Illumina NovaSeq X Plus sequencing	Septic shock patient 1 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/096/ERR16983796/ERR16983796_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/096/ERR16983796/ERR16983796_2.fastq.gz	6d540237e132336602921b7eed6a1ae9;6c85fd450f384e2ce2567af8b0ac67ba	2517401591;2480123923
ERR16983802	PRJEB111201	SAMEA122114851	ERX16367339	Illumina NovaSeq X Plus sequencing	Septic shock patient 3 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/002/ERR16983802/ERR16983802_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/002/ERR16983802/ERR16983802_2.fastq.gz	5434bbd201ac15a6c4564a51d6189d19;4b0327acd86de3c0a6bc31209f51f500	2605911629;2562894171
ERR16983803	PRJEB111201	SAMEA122114852	ERX16367340	Illumina NovaSeq X Plus sequencing	Septic shock patient 3 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/003/ERR16983803/ERR16983803_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/003/ERR16983803/ERR16983803_2.fastq.gz	be0049e91f9676266af0a66fcc06fb7d;e1194d7a8fe9855dcefd293b579ef73d	2230976876;2208206795
ERR16983805	PRJEB111201	SAMEA122114854	ERX16367342	Illumina NovaSeq X Plus sequencing	Septic shock patient 4 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/005/ERR16983805/ERR16983805_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/005/ERR16983805/ERR16983805_2.fastq.gz	2b02d94d33e04ce31fca235c13cdcad6;b4454684e3fda9297770b5534da61dc4	2459311097;2423564473
ERR16983775	PRJEB111201	SAMEA122114824	ERX16367312	Illumina NovaSeq X Plus sequencing	Healthy control 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/075/ERR16983775/ERR16983775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/075/ERR16983775/ERR16983775_2.fastq.gz	06fc9e1fd4d46adc1752e9efcbea1e7b;03eb68b7e900dec436b5a51ae2214796	2326461921;2291186975
ERR16983777	PRJEB111201	SAMEA122114826	ERX16367314	Illumina NovaSeq X Plus sequencing	Sepsis patient 0 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/077/ERR16983777/ERR16983777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/077/ERR16983777/ERR16983777_2.fastq.gz	16868356e5815b8322af2ddfaa022822;0cbcc07300b5566cf46739dbcde179cc	2266900974;2230163524
ERR16983779	PRJEB111201	SAMEA122114828	ERX16367316	Illumina NovaSeq X Plus sequencing	Sepsis patient 1 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/079/ERR16983779/ERR16983779_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/079/ERR16983779/ERR16983779_2.fastq.gz	4a83d5f2005f5ea492538358cbe2d748;ccf077876a972f30d9309b0b2adbb67b	2515335386;2455442133
ERR16983780	PRJEB111201	SAMEA122114829	ERX16367317	Illumina NovaSeq X Plus sequencing	Sepsis patient 1 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/080/ERR16983780/ERR16983780_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/080/ERR16983780/ERR16983780_2.fastq.gz	cc50e57c5b157844fa5c975cad535ea1;f9dc2830c4061ff92b873edc76a16cd8	2443181569;2413018103
ERR16983782	PRJEB111201	SAMEA122114831	ERX16367319	Illumina NovaSeq X Plus sequencing	Sepsis patient 2 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/082/ERR16983782/ERR16983782_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/082/ERR16983782/ERR16983782_2.fastq.gz	b4af27949c712abec6b9f3981a61fc0f;dbc2048a1a97beb0b334482cae8a36f2	2448014682;2410952625
ERR16983783	PRJEB111201	SAMEA122114832	ERX16367320	Illumina NovaSeq X Plus sequencing	Sepsis patient 2 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/083/ERR16983783/ERR16983783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/083/ERR16983783/ERR16983783_2.fastq.gz	48187ebc2a46fe975b113c6783fe85c6;5eac791d83c4c4d0b85b2cc1af63909a	2168376281;2154582855
ERR16983789	PRJEB111201	SAMEA122114838	ERX16367326	Illumina NovaSeq X Plus sequencing	Sepsis patient 4 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/089/ERR16983789/ERR16983789_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/089/ERR16983789/ERR16983789_2.fastq.gz	2be8694af0343294620d0ea796c57463;7ecedf038bff1f322a0929422ca0fffe	2559129685;2538883854
ERR16983793	PRJEB111201	SAMEA122114842	ERX16367330	Illumina NovaSeq X Plus sequencing	Septic shock patient 0 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/093/ERR16983793/ERR16983793_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/093/ERR16983793/ERR16983793_2.fastq.gz	e59d6d0e4049d5bf1bb042fac11ae90a;afeacfd1f1e1f2e18ccbfd44205196ae	2487102111;2500665778
ERR16983797	PRJEB111201	SAMEA122114846	ERX16367334	Illumina NovaSeq X Plus sequencing	Septic shock patient 1 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/097/ERR16983797/ERR16983797_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/097/ERR16983797/ERR16983797_2.fastq.gz	07c6cc67675ec7ef071682d89b977964;1d661b82ad06c722c943afcba7d5fa30	2430308234;2402388881
ERR16983798	PRJEB111201	SAMEA122114847	ERX16367335	Illumina NovaSeq X Plus sequencing	Septic shock patient 2 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/098/ERR16983798/ERR16983798_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/098/ERR16983798/ERR16983798_2.fastq.gz	e743eaf4a9107382eb0d08c633932702;1e5329a397493ed4e09411e9cef09e65	2532528099;2493671904
ERR16983799	PRJEB111201	SAMEA122114848	ERX16367336	Illumina NovaSeq X Plus sequencing	Septic shock patient 2 hospital day 3 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/099/ERR16983799/ERR16983799_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/099/ERR16983799/ERR16983799_2.fastq.gz	da4710af45ba67d266ecfa07c7c4901a;7e5610b68e0ed6917cec9dd77dd73231	2531725373;2498685935
ERR16983800	PRJEB111201	SAMEA122114849	ERX16367337	Illumina NovaSeq X Plus sequencing	Septic shock patient 2 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/000/ERR16983800/ERR16983800_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/000/ERR16983800/ERR16983800_2.fastq.gz	b2f3cbd798594b45aa41700337e71705;80a13824edca5dd9031c8e5c12dc0871	2372757930;2321332978
ERR16983801	PRJEB111201	SAMEA122114850	ERX16367338	Illumina NovaSeq X Plus sequencing	Septic shock patient 3 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/001/ERR16983801/ERR16983801_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/001/ERR16983801/ERR16983801_2.fastq.gz	20313ef58681a70938aa98f6e7aeff08;f8845e6fbbe1fe4f48c4847bcb877551	2352120287;2325626119
ERR16983804	PRJEB111201	SAMEA122114853	ERX16367341	Illumina NovaSeq X Plus sequencing	Septic shock patient 4 hospital day 1 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/004/ERR16983804/ERR16983804_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/004/ERR16983804/ERR16983804_2.fastq.gz	2d3d3e938fece59288692a49489d21ad;53de1827190c0dec89ce1d679417da96	2723765792;2676635684
ERR16983806	PRJEB111201	SAMEA122114855	ERX16367343	Illumina NovaSeq X Plus sequencing	Septic shock patient 4 hospital day 7 - whole blood RNA-seq	ILLUMINA	Illumina NovaSeq X Plus	PAIRED	RNA-Seq	ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/006/ERR16983806/ERR16983806_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR169/006/ERR16983806/ERR16983806_2.fastq.gz	f34de88e8443ace928aeb57920258f52;26186528dc24597bc23181e551872a98	2275553747;2243573023
