dataset,signature_id,time_window,stratum,n_pairs,baseline_sd,mean_delta_z,bootstrap_se,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,seed
GSE106878,SIG001,T24,all,47,0.7620521923684607,-0.9724639085231,0.0831694384541278,-1.1393637281655935,-0.8154074436741645,2000,20260720
GSE106878,SIG002,T24,all,47,0.900373415392764,-1.4835511360043403,0.1476774510421235,-1.7760223962492738,-1.2007969535979983,2000,20260720
GSE106878,SIG003,T24,all,47,0.086495725640369,-1.1168213514047898,0.1213756928221471,-1.3506834123095224,-0.8770704397285995,2000,20260720
GSE106878,SIG004,T24,all,47,0.0914888980932186,0.9171876739289512,0.1043814866589403,0.7157799630179976,1.1238174425884522,2000,20260720
GSE106878,SIG022,T24,all,47,0.8055713946778139,0.182821963782548,0.0801418961987229,0.0283398150974857,0.3393841354995265,2000,20260720
GSE106878,SIG023,T24,all,47,1.8754325304059152,-0.2076197820502185,0.0881599465887166,-0.3681599437055136,-0.0249265687907433,2000,20260720
GSE106878,SIG033,T24,all,47,0.7221448277341548,0.2077740950436922,0.1226864601422911,-0.036087970353642,0.452339090938352,2000,20260720
GSE106878,SIG034,T24,all,47,0.0543658656381281,0.1869636699672685,0.1221229749675117,-0.0460482696446452,0.4274058502047045,2000,20260720
