dataset,signature_id,signature_name,n_pairs,spearman_rho,rho_ci95_lower,rho_ci95_upper,median_rank_displacement,displacement_ci95_lower,displacement_ci95_upper,finite_bootstrap_replicates
GSE106878,SIG001,Sepsis MetaScore,47,0.8223866790009251,0.708048008784412,0.895732576167533,0.1304347826086956,0.0652173913043477,0.1739130434782609,2000
GSE106878,SIG002,SeptiCyte LAB,47,0.4025208140610546,0.1142903072558473,0.6405031162549503,0.2391304347826086,0.1521739130434782,0.3260869565217391,2000
GSE106878,SIG003,FAIM3:PLAC8,47,0.5809435707678077,0.3432584195894225,0.7504794787337012,0.1739130434782608,0.108695652173913,0.2826086956521738,2000
GSE106878,SIG004,sNIP,47,0.7074468085106383,0.5227972714816823,0.8228261822228304,0.1521739130434782,0.1086956521739129,0.2173913043478261,2000
GSE106878,SIG022,Bacterial/Viral MetaScore,47,0.7154255319148936,0.5191886928450331,0.8396352261439344,0.1304347826086956,0.0652173913043479,0.1956521739130434,2000
GSE106878,SIG023,Herberg two-gene DRS,47,0.7039777983348752,0.4552000717759644,0.8738610133450827,0.108695652173913,0.0652173913043478,0.1739130434782609,2000
GSE106878,SIG033,Lin seven-gene mortality score,47,0.5840656799259945,0.3261597142220419,0.779106975429034,0.1521739130434782,0.0869565217391304,0.2391304347826087,2000
GSE106878,SIG034,Severe-or-Mild score,47,0.647895467160037,0.3959536196144218,0.8052536505974633,0.1956521739130434,0.108695652173913,0.2391304347826087,2000
