dataset,signature_id,observed_mean_delta_z,successful_iterations,success_fraction,median_exact_bin_match_fraction,null_mean,null_sd,observed_absolute_percentile,empirical_two_sided_p,gate_status
GSE106878,SIG001,-0.9724639085231,1000,1.0,1.0,-0.1238994003286391,0.3740640669907801,0.985,0.0159840159840159,PASS
GSE106878,SIG002,-1.48355113600434,1000,1.0,1.0,-0.0065237222741403,0.3628617673753942,1.0,0.0009990009990009,PASS
GSE106878,SIG003,-1.1168213514047898,1000,1.0,1.0,-0.0206491385086036,0.3809309706725953,0.996,0.0049950049950049,PASS
GSE106878,SIG004,0.917187673928951,1000,1.0,1.0,0.072294654048325,0.3658368078830071,0.992,0.0089910089910089,PASS
GSE106878,SIG022,0.182821963782548,1000,1.0,1.0,-0.0130754741928668,0.3448468926422882,0.393,0.6073926073926074,PASS
GSE106878,SIG023,-0.2076197820502185,1000,1.0,1.0,0.0039161741772061,0.3838384562547464,0.493,0.5074925074925075,PASS
GSE106878,SIG033,0.2077740950436922,1000,1.0,1.0,0.0257602576851993,0.3598365898413573,0.431,0.5694305694305695,PASS
GSE106878,SIG034,0.1869636699672685,1000,1.0,1.0,-0.1034678595077427,0.34689850887734,0.37,0.6303696303696303,PASS
