signature_id,signature_name,time_window,cohort_n,patient_n,pooled_spearman_rho,ci95_lower,ci95_upper,modified_hk_ci95_lower,modified_hk_ci95_upper,tau2_fisher_z,I2_percent,prediction_lower,prediction_upper,modified_hk_prediction_lower,modified_hk_prediction_upper,p_value,modified_hk_p_value,q_hk,cohorts,median_cohort_rank_displacement_pp,holm_adjusted_p_diagnostic_family
SIG001,Sepsis MetaScore,T24,4,172,0.6178706259337724,0.0633955003993057,0.880867553931322,0.0541286113466826,0.8829342293107577,0.130605786208964,76.05184076936605,-0.7894406221674262,0.9869569541484006,-0.7917939595107127,0.9871186222519592,0.0397829323134618,0.0412113917790716,0.9723264336977054,GSE236713;GSE54514;GSE57065;GSE95233,13.986354775828456,0.1236341753372149
SIG001,Sepsis MetaScore,T48,5,146,0.5885677743128812,0.1447266522792231,0.8352319747135674,0.1447266522792231,0.8352319747135674,0.1418563745399361,78.03402371108439,-0.5837783730797081,0.965353762164292,-0.5837783730797081,0.965353762164292,0.0240054619837211,0.0240054619837211,1.0020171162922484,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,18,0.0686492255866859
SIG002,SeptiCyte LAB,T24,3,141,0.634089428410113,-0.1886777013351344,0.9338175165676424,-0.2337150503711963,0.9395933984200068,0.1158585211331098,79.01442637030227,-0.9996922648448582,0.9999845674084098,-0.9997359079446844,0.9999867563381168,0.0755849880202791,0.0824280595986791,0.9066795314534742,GSE236713;GSE57065;GSE95233,15.789473684210527,0.1347160714630591
SIG002,SeptiCyte LAB,T48,4,118,0.4755662813210813,0.2633901441811673,0.6438547413172184,0.2025303038509986,0.6799969590403494,0,0,0.180628222303941,0.6920326549601163,0.0953029931227754,0.7347095271322286,0.0069268037176979,0.0132609704941729,0.629758823714398,GSE110487;GSE57065;GSE8121;GSE95233,23.33333333333333,0.0530438819766918
SIG003,FAIM3:PLAC8,T24,3,141,0.5516018249673388,0.4524194744537227,0.6373055483710725,0.1860797641409189,0.7830041119606928,0,0,0.2242123250612506,0.7671129731877495,-0.5758730871198348,0.9560338865470503,0.0024689243027512,0.0252287622430543,0.0945237899003902,GSE236713;GSE57065;GSE95233,14.130434782608688,0.1009150489722173
SIG003,FAIM3:PLAC8,T48,4,118,0.4314134087423504,0.2105134942101983,0.6103979755871357,0.1208141630333926,0.6650735706876665,0,0,0.1257711601411206,0.662257085068206,0.0016495927279659,0.7266602594301477,0.0096034425340146,0.0228830751955619,0.5310104426993193,GSE110487;GSE57065;GSE8121;GSE95233,19.620689655172413,0.0686492255866859
SIG004,sNIP,T24,3,141,0.6112046520957948,-0.1208689755710993,0.9126476805252512,-0.1251598674214093,0.9133727067987336,0.0766549611082036,68.9466358557429,-0.9984491385111516,0.9999096286045352,-0.9984718493873992,0.9999109529597664,0.066726809800064,0.0673580357315295,0.9896123256986278,GSE236713;GSE57065;GSE95233,14.814814814814817,0.1347160714630591
SIG004,sNIP,T48,4,118,0.4261798715374951,0.1661569899661277,0.6307898177142002,0.1104434502766336,0.663781164381424,0,0,0.066412728629294,0.6878840524755653,-0.010304118903556,0.7262488279475208,0.015068969338375,0.0245173086869681,0.6972118127333508,GSE110487;GSE57065;GSE8121;GSE95233,19.000000000000004,0.0686492255866859
SIG022,Bacterial/Viral MetaScore,T24,4,172,0.7267946093201366,0.3784302697461339,0.8948138279790706,0.3758162947592188,0.8954195428046005,0.0678816957051221,61.872364748322475,-0.3833475818852344,0.9779292527549938,-0.3852266357705451,0.9780252871574376,0.0112362603165282,0.0114195349628916,0.988462311131628,GSE236713;GSE54514;GSE57065;GSE95233,10.818713450292403,
SIG022,Bacterial/Viral MetaScore,T48,5,146,0.6756745317418914,0.4207949730542762,0.831681512095258,0.4204237629823698,0.8318205049598529,0.0383679724548654,42.51497474154157,0.0654726765489543,0.9180782169705856,0.065181704434956,0.9181241217549851,0.0036082472909008,0.0036243375277194,0.9975826330045794,GSE110487;GSE54514;GSE57065;GSE8121;GSE95233,10.000000000000004,
