dataset,signature_id,signature_name,endpoint,analysis_role,survivor_n,nonsurvivor_n,placebo_n,hydrocortisone_n,beta_adverse_minus_favorable,se_hc3,ci95_lower,ci95_upper,p_value,bootstrap_se,bootstrap_ci95_lower,bootstrap_ci95_upper,ancova_beta,ancova_p_hc3,bootstrap_replicates,seed,holm_adjusted_p_primary_four
GSE106878,SIG001,Sepsis MetaScore,28-day mortality,secondary treatment-adjusted clinical context,34,13,23,24,0.2996767054286294,0.2159998355965092,-0.1236751930071013,0.7230286038643602,0.1653218941118166,0.2031114830383331,-0.0926828871116114,0.692132339838384,0.2648206863510879,0.182586578660696,2000,973787796,0.6612875764472665
GSE106878,SIG002,SeptiCyte LAB,28-day mortality,secondary treatment-adjusted clinical context,34,13,23,24,0.3088408601113783,0.2600613578487454,-0.2008700350427457,0.8185517552655024,0.2350031761672777,0.2442780972171325,-0.1806745003573989,0.7887279443045433,0.2094526642187133,0.3356031896409299,2000,1946684360,0.7050095285018332
GSE106878,SIG003,FAIM3:PLAC8,28-day mortality,secondary treatment-adjusted clinical context,34,13,23,24,0.3010893956662139,0.2649326879675751,-0.2181691310776213,0.8203479224100493,0.2557577925063243,0.2418855301226819,-0.1901124137091464,0.7337780033307028,0.1926953419152373,0.427624621606096,2000,3846267971,0.7050095285018332
GSE106878,SIG004,sNIP,28-day mortality,secondary treatment-adjusted clinical context,34,13,23,24,-0.1727816909620418,0.2395727322297096,-0.6423356178101309,0.2967722358860472,0.4707817561384118,0.2212472340947758,-0.5983130921971549,0.2608865514316864,-0.1410168332100005,0.5228843070839014,2000,2472644644,0.7050095285018332
GSE106878,SIG022,Bacterial/Viral MetaScore,28-day mortality,secondary treatment-adjusted clinical context,34,13,23,24,-0.0399499890582471,0.159688870810107,-0.3529344245779265,0.2730344464614323,0.8024528613116961,0.1498042098947826,-0.3291015550688007,0.2729587803049601,-0.0156001062843438,0.9133232465692545,2000,1976904542,
GSE106878,SIG023,Herberg two-gene DRS,28-day mortality,secondary treatment-adjusted clinical context,34,13,23,24,0.2708946887419385,0.2087190470388258,-0.1381871263416816,0.6799765038255586,0.1943246020495512,0.1907075475924084,-0.1109736449977552,0.6424908671338644,0.2422269923099543,0.1287860050058842,2000,721166487,
GSE106878,SIG033,Lin seven-gene mortality score,28-day mortality,secondary treatment-adjusted clinical context,34,13,23,24,-0.0443790352199838,0.2893821247222249,-0.6115575774452228,0.522799507005255,0.8781160422765153,0.2623965462042982,-0.5415701824023051,0.4667987209425524,-0.1269885897572798,0.6215108934434792,2000,1138731986,
GSE106878,SIG034,Severe-or-Mild score,28-day mortality,secondary treatment-adjusted clinical context,34,13,23,24,0.0346835201747423,0.2713831321276794,-0.497217644807184,0.5665846851566688,0.8983050457758144,0.2479872108989146,-0.4542721241410592,0.5172430596438394,-0.036826677639128,0.8991038026811912,2000,3708659973,
